title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,publisher_cleaned,release_date,ISBN_13
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,"Upom Malik, Matt Goldwasser, Benjamin Johnston",27.88,386,4.4,234,69%,13%,11%,4%,3%,7.5 x 0.87 x 9.25 inches,1.32 pounds,English,"Packt Publishing (August 23, 2019)",Packt Publishing,"August 23, 2019",978-1789807356
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,"Ryan T White, Archana Tikayat Ray",62.99,330,4.3,39,65%,17%,6%,4%,7%,7.5 x 0.75 x 9.25 inches,1.25 pounds,English,"Packt Publishing (February 22, 2021)",Packt Publishing,"February 22, 2021",978-1838983147
"Microsoft 365: 11 Books in 1: The Ultimate All-in-One Bible to Master Excel, Word, PowerPoint, Outlook, OneNote, OneDrive, Access, Publisher, SharePoint, Teams and Visio with Step-by-Step Tutorials",Benjamin Zeldovich,24.14,560,5,429,98%,1%,1%,0%,0%,8.5 x 1.27 x 11 inches,3.46 pounds,English,"Independently published (December 5, 2022)",Independently published,"December 5, 2022",979-8363221682
Excel 2022: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials,Leonard J. Ledger,19.7,149,4.3,735,62%,17%,11%,4%,5%,8.5 x 0.34 x 11 inches,12.8 ounces,English,"Independently published (April 1, 2022)",Independently published,"April 1, 2022",979-8444443675
Data Science from Scratch: First Principles with Python,Joel Grus,44.97,330,4.3,318,63%,17%,10%,7%,3%,7.01 x 0.69 x 9.17 inches,1.32 pounds,English,"O'Reilly Media; 1st edition (April 30, 2015)",O'Reilly Media; 1st edition,"April 30, 2015",978-1491901427
Doing Data Science: Straight Talk from the Frontline,"Cathy ONeil, Rachel Schutt",26.44,408,4.3,175,61%,24%,7%,5%,3%,6 x 0.78 x 9 inches,1.2 pounds,English,"O'Reilly Media; 1st edition (November 19, 2013)",O'Reilly Media; 1st edition,"November 19, 2013",978-1449358655
"Excel Data Analysis: Your visual blueprint for analyzing data, charts, and PivotTables",Paul McFedries,8.09,336,4.1,19,50%,32%,3%,8%,8%,7.4 x 0.66 x 9.25 inches,1.35 pounds,English,"Visual; 4th edition (July 29, 2013)",Visual; 4th edition,"July 29, 2013",978-1118517147
An R Companion to Political Analysis,"Philip H. Pollock, Barry Clayton Edwards",69.06,416,3,2,50%,0%,0%,0%,50%,8.25 x 1 x 10.5 inches,2.16 pounds,English,"CQ Press; Third edition (August 16, 2022)",CQ Press; Third edition,"August 16, 2022",978-1071862414
The Workflow of Data Analysis Using Stata,J. Scott Long,75.95,379,4.6,46,74%,19%,3%,4%,0%,7.2 x 0.9 x 9.2 inches,1.79 pounds,English,"Stata Press; 1st edition (December 10, 2008)",Stata Press; 1st edition,"December 10, 2008",978-1597180474
Big Data in Healthcare: Statistical Analysis of the Electronic Health Record (1),Farrokh Alemi,90,553,4.6,6,78%,22%,0%,0%,0%,7 x 1.3 x 10 inches,2.54 pounds,English,"AUPHA/HAP Book; 1st edition (February 18, 2020)",AUPHA/HAP Book; 1st edition,"February 18, 2020",978-1640550636
Data Analysis for the Life Sciences with R,"Rafael A. Irizarry, Michael I. Love",47.68,376,4.3,15,77%,11%,11%,0%,0%,7 x 0.75 x 10 inches,1.69 pounds,English,"Chapman and Hall/CRC; 1st edition (July 25, 2016)",Chapman and Hall/CRC; 1st edition,"July 25, 2016",978-1498775670
"Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach (Methodology in the Social Sciences)",Andrew F. Hayes,58.41,732,4.6,25,72%,17%,5%,5%,0%,7 x 1.56 x 10 inches,3.09 pounds,English,"The Guilford Press; Third edition (January 24, 2022)",The Guilford Press; Third edition,"January 24, 2022",978-1462549030
Data Smart: Using Data Science to Transform Information into Insight,John W. Foreman,21.21,432,4.5,347,70%,16%,8%,4%,2%,7.3 x 0.8 x 9.1 inches,1.6 pounds,English,"Wiley; 1st edition (November 12, 2013)",Wiley; 1st edition,"November 12, 2013",978-1118661468
Exploratory Data Analysis,John Tukey,99.99,712,4.6,23,72%,18%,7%,3%,0%,1.6 x 6.5 x 8.6 inches,3.53 ounces,English,"Pearson; 1st edition (January 1, 1977)",Pearson; 1st edition,"January 1, 1977",978-0201076165
Data Cartels: The Companies That Control and Monopolize Our Information,Sarah Lamdan,26,224,4,18,60%,19%,0%,9%,13%,6 x 0.56 x 9 inches,12 ounces,English,"Stanford University Press; 1st edition (November 8, 2022)",Stanford University Press; 1st edition,"November 8, 2022",978-1503633711
Business Analytics: Data Analysis & Decision Making - Standalone book,"S. Christian Albright, Wayne L. Winston",93.15,984,4.4,174,72%,14%,5%,3%,7%,8 x 1.5 x 10 inches,4.1 pounds,English,"Cengage Learning; 6th edition (April 27, 2016)",Cengage Learning; 6th edition,"April 27, 2016",978-1305947542
Network Security Through Data Analysis: From Data to Action,Michael Collins,9.02,428,4.5,17,72%,14%,5%,9%,0%,7.01 x 0.87 x 9.17 inches,1.64 pounds,English,"O'Reilly Media; 2nd edition (October 17, 2017)",O'Reilly Media; 2nd edition,"October 17, 2017",978-1491962848
Python for Data Analysis: Learn the Principles of Data Analysis and Raise Your Programming Iq. Improve Your Machine Learning Experience and Become a Skilled Programmer by Learning 10+ Coding Secrets,Robert Campbell,33.99,74,1,1,0%,0%,0%,0%,100%,8 x 0.25 x 10 inches,14.3 ounces,English,"Robert Campbell (October 16, 2022)",Robert Campbell,"October 16, 2022",978-1803064420
"Data Analysis & Probability: A Quickstudy Laminated Reference Guide (Math Fundamentals, 4)","Peggy Warren, Susan Wright, LLC ExpoLog",6.11,6,5,1,100%,0%,0%,0%,0%,8.5 x 0.06 x 11 inches,2.4 ounces,English,"Quickstudy; Updated edition (November 1, 2021)",Quickstudy; Updated edition,"November 1, 2021",978-1423247272
"Excel 2022: Learn From Scratch with the Most Update Guide on Microsoft Excel Plus Step by Step Tutorial, Features and Formulas. 7 Minutes Crash Course Included",Robert Johnson,19.24,161,4.8,293,93%,3%,1%,3%,0%,8.5 x 0.37 x 11 inches,1.08 pounds,English,"Independently published (October 6, 2022)",Independently published,"October 6, 2022",979-8356241734
Learn Selenium: Build data-driven test frameworks for mobile and web applications with Selenium Web Driver 3,"Unmesh Gundecha, Carl Cocchiaro",49.99,536,4.4,13,50%,39%,11%,0%,0%,7.5 x 1.21 x 9.25 inches,2.01 pounds,English,"Packt Publishing (July 18, 2019)",Packt Publishing,"July 18, 2019",978-1838983048
Hands-On Graph Analytics with Neo4j: Perform graph processing and visualization techniques using connected data across your enterprise,Estelle Scifo,44.99,510,4.1,23,48%,28%,17%,7%,0%,7.5 x 1.15 x 9.25 inches,1.91 pounds,English,"Packt Publishing (August 21, 2020)",Packt Publishing,"August 21, 2020",978-1839212611
Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook,Programming Languages Academy,17.95,205,4.4,292,63%,22%,7%,3%,4%,6 x 0.47 x 9 inches,1.19 pounds,English,"Independently published (January 2, 2020)",Independently published,"January 2, 2020",978-1654414016
"Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy, ArcGIS API for Python, Notebooks, and pandas","Silas Toms, Bill Parker",59.84,586,4.7,51,83%,10%,4%,3%,0%,7.5 x 1.32 x 9.25 inches,2.19 pounds,English,"Packt Publishing (April 29, 2022)",Packt Publishing,"April 29, 2022",978-1803241661
Field Guide to Optomechanical Design and Analysis (Spie Field Guides),"Katie Schwertz, James H. Burge",42,168,4.4,7,60%,19%,21%,0%,0%,5.5 x 0.5 x 8 inches,7.8 ounces,English,"SPIE--The International Society for Optical Engineering; Spi edition (August 1, 2012)",SPIE--The International Society for Optical Engineering; Spi edition,"August 1, 2012",978-0819491619
Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python,"Marc Wintjen, Andrew Vlahutin",34.99,322,4,33,56%,16%,7%,10%,11%,7.5 x 0.73 x 9.25 inches,1.22 pounds,English,"Packt Publishing (June 19, 2020)",Packt Publishing,"June 19, 2020",978-1838826031
Introduction to Statistics and Data Analysis,"Roxy Peck, Chris Olsen, Jay L. Devore",15.1,944,4.5,53,69%,14%,12%,3%,1%,10 x 1 x 12 inches,4.37 pounds,English,"Brooks Cole; 5th edition (January 1, 2015)",Brooks Cole; 5th edition,"January 1, 2015",978-1305267244
Regression Analysis with R: Design and develop statistical nodes to identify unique relationships within data at scale,Giuseppe Ciaburro,41.99,422,4.4,12,57%,30%,13%,0%,0%,7.5 x 0.96 x 9.25 inches,1.59 pounds,English,"Packt Publishing (January 31, 2018)",Packt Publishing,"January 31, 2018",978-1788627306
Data and Analytics Strategy for Business: Unlock Data Assets and Increase Innovation with a Results-Driven Data Strategy,Simon Asplen-Taylor,34.99,328,4.6,3,62%,38%,0%,0%,0%,6.1 x 0.79 x 9.25 inches,1.1 pounds,English,"Kogan Page; 1st edition (June 28, 2022)",Kogan Page; 1st edition,"June 28, 2022",978-1398606050
POWER BI FOR BEGINNERS 2022: A SIMPLE AND DIRECT GUIDE TO DATA ANALYSIS USING POWER BI,Richard Steve,9.99,49,4.4,7,53%,30%,17%,0%,0%,6 x 0.12 x 9 inches,4.5 ounces,English,"Independently published (April 30, 2022)",Independently published,"April 30, 2022",979-8814257475
"Accelerated Testing: Statistical Models, Test Plans, and Data Analysis (Wiley Series in Probability and Statistics)",Wayne B. Nelson,37,616,4.5,16,70%,21%,9%,0%,0%,6.28 x 1.08 x 9.15 inches,1.81 pounds,English,"Wiley-Interscience; 1st edition (February 1, 1990)",Wiley-Interscience; 1st edition,"February 1, 1990",978-0471522775
Analysis of Economic Data,Gary Koop,62.78,272,4,14,66%,18%,16%,0%,0%,6.4 x 0.7 x 9.4 inches,1.07 pounds,English,"Wiley; 4th edition (September 23, 2013)",Wiley; 4th edition,"September 23, 2013",978-1118472538
Spreadsheet Modeling and Decision Analysis: A Practical Introduction to Business Analytics (MindTap Course List),Cliff Ragsdale,153.5,864,4.4,3,38%,62%,0%,0%,0%,7.95 x 1.5 x 10.16 inches,3.95 pounds,English,"Cengage Learning; 9th edition (September 28, 2021)",Cengage Learning; 9th edition,"September 28, 2021",978-0357132098
Probability and Computing: Randomization and Probabilistic Techniques in Algorithms and Data Analysis,"Michael Mitzenmacher, Eli Upfal",73.98,484,4.5,28,70%,17%,4%,9%,0%,10.27 x 7.45 x 1.15 inches,2.54 pounds,English,"Cambridge University Press; 2nd edition (July 3, 2017)",Cambridge University Press; 2nd edition,"July 3, 2017",978-1107154889
The Algorithm Design Manual (Texts in Computer Science),Steven S. Skiena,73.99,810,4.5,260,75%,10%,7%,3%,4%,7.7 x 1.6 x 9.4 inches,3.46 pounds,English,"Springer; 3rd ed. 2020 edition (October 6, 2020)",Springer; 3rd ed. 2020 edition,"October 6, 2020",978-3030542559
"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science)",Dr. Clifford A. Shaffer,35.95,624,4.3,40,62%,17%,9%,12%,0%,6.9 x 1.3 x 10 inches,2.35 pounds,English,"Dover Publications; Third edition (September 14, 2011)",Dover Publications; Third edition,"September 14, 2011",978-0486485829
Guerrilla Data Analysis Using Microsoft Excel: 2nd Edition Covering Excel 2010/2013,"Oz du Soleil, Bill Jelen",24.95,180,4.5,45,76%,7%,10%,7%,0%,8 x 0.5 x 10 inches,13.3 ounces,English,"Holy Macro! Books; Second Edition, Second edition (May 1, 2015)","Holy Macro! Books; Second Edition, Second edition","May 1, 2015",978-1615470334
"Learning the Pandas Library: Python Tools for Data Munging, Analysis, and Visual","Matt Harrison, Michael Prentiss",19.99,212,4.2,78,57%,24%,7%,5%,7%,6 x 0.48 x 9 inches,10.2 ounces,English,"CreateSpace Independent Publishing Platform; 1st edition (June 1, 2016)",CreateSpace Independent Publishing Platform; 1st edition,"June 1, 2016",978-1533598240
Data Analysis with Open Source Tools: A Hands-On Guide for Programmers and Data Scientists,Philipp K. Janert,39.99,540,4.3,73,62%,20%,7%,7%,4%,7 x 1.4 x 9.19 inches,1.88 pounds,English,"O'Reilly Media; 1st edition (December 14, 2010)",O'Reilly Media; 1st edition,"December 14, 2010",978-0596802356
The Art of Data Analysis: How to Answer Almost Any Question Using Basic Statistics,Kristin H. Jarman,63.52,192,4.7,29,77%,16%,7%,0%,0%,6.15 x 0.46 x 9.3 inches,10.5 ounces,English,"Wiley; 1st edition (May 13, 2013)",Wiley; 1st edition,"May 13, 2013",978-1118411315
Putting FACES on the Data: What Great Leaders and Teachers Do!,"Lyn D. Sharratt, Michael Fullan",40,376,4.4,3,37%,63%,0%,0%,0%,6 x 1 x 8.75 inches,1.32 pounds,English,"Corwin; New 10th Anniversary edition (September 9, 2022)",Corwin; New 10th Anniversary edition,"September 9, 2022",978-1071855102
Malware Analysis and Detection Engineering: A Comprehensive Approach to Detect and Analyze Modern Malware,"Abhijit Mohanta, Anoop Saldanha",68.86,948,4.7,81,82%,12%,4%,2%,0%,7 x 1.87 x 10 inches,3.9 pounds,English,"Apress; 1st ed. edition (September 23, 2020)",Apress; 1st ed. edition,"September 23, 2020",978-1484261927
Spatial Analysis with R,Tonny J. Oyana,101.01,354,5,1,100%,0%,0%,0%,0%,6.14 x 1.02 x 9.21 inches,1.81 pounds,English,"CRC Press; 2nd edition (September 1, 2020)",CRC Press; 2nd edition,"September 1, 2020",978-0367860851
R Graphics Cookbook: Practical Recipes for Visualizing Data,Winston Chang,54.97,444,4.5,82,74%,14%,4%,6%,2%,6.7 x 1 x 9.1 inches,1.55 pounds,English,"O'Reilly Media; 2nd edition (November 30, 2018)",O'Reilly Media; 2nd edition,"November 30, 2018",978-1491978603
A History of Data Visualization and Graphic Communication,"Michael Friendly, Howard Wainer",48.94,320,4.6,10,57%,43%,0%,0%,0%,6.5 x 1.5 x 9.5 inches,1.41 pounds,English,"Harvard University Press; Illustrated edition (June 8, 2021)",Harvard University Press; Illustrated edition,"June 8, 2021",978-0674975231
Murach's R for Data Analysis,Scott Mccoy,59.5,576,5,8,100%,0%,0%,0%,0%,10 x 8 x 2 inches,2.07 pounds,English,"Mike Murach & Associates Inc (January 1, 2023)",Mike Murach & Associates Inc,"January 1, 2023",978-1943873036
Adjustment Computations: Spatial Data Analysis,Charles D. Ghilani,104.95,720,4.5,20,69%,20%,8%,3%,0%,6.3 x 1.8 x 9 inches,2.35 pounds,English,"Wiley; 6th edition (October 23, 2017)",Wiley; 6th edition,"October 23, 2017",978-1119385981
Practical Finite Element Simulations with SOLIDWORKS 2022: An illustrated guide to performing static analysis with SOLIDWORKS Simulation,Khameel B. Mustapha,46.99,480,5,4,100%,0%,0%,0%,0%,7.5 x 1.13 x 9.25 inches,1.8 pounds,English,"Packt Publishing (February 14, 2022)",Packt Publishing,"February 14, 2022",978-1801819923
Longitudinal Data Analysis,"Robert D. Gibbons, Donald Hedeker",155.57,360,4.9,8,92%,8%,0%,0%,0%,6.4 x 1 x 9.7 inches,16 ounces,English,"Wiley-Interscience; 1st edition (April 7, 2006)",Wiley-Interscience; 1st edition,"April 7, 2006",978-0471420279
"The Definitive Guide to DAX: Business Intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel Second Edition (Business Skills)","Marco Russo, Alberto Ferrari",43.99,768,4.7,"1,155",83%,12%,3%,1%,1%,7.38 x 1.73 x 9.13 inches,3 pounds,English,"Microsoft Press; 2nd edition (July 2, 2019)",Microsoft Press; 2nd edition,"July 2, 2019",978-1509306978
Statistical Analysis of Network Data with R (Use R!),"Eric D. Kolaczyk, Gábor Csárdi",76.19,242,4.7,8,72%,28%,0%,0%,0%,6.1 x 0.58 x 9.25 inches,1 pounds,English,"Springer; 2nd ed. 2020 edition (June 3, 2020)",Springer; 2nd ed. 2020 edition,"June 3, 2020",978-3030441289
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,23.37,611,4.8,"3,443",85%,9%,3%,1%,2%,7.01 x 1.24 x 9.17 inches,2.15 pounds,English,"O'Reilly Media; 1st edition (May 2, 2017)",O'Reilly Media; 1st edition,"May 2, 2017",978-1449373320
Hands-on JavaScript for Python Developers: Leverage your Python knowledge to quickly learn JavaScript and advance your web development career,Sonyl Nagale,29.99,410,4.5,16,76%,15%,9%,0%,0%,7.5 x 0.93 x 9.25 inches,1.55 pounds,English,"Packt Publishing (September 25, 2020)",Packt Publishing,"September 25, 2020",978-1838648121
Excel: Pivot Tables & Charts (Quick Study Computer),Inc. BarCharts,5.95,6,4.6,"1,527",74%,15%,7%,2%,2%,8.5 x 11 x 0.06 inches,2.24 ounces,English,"QuickStudy; Lam Rfc Cr edition (May 31, 2011)",QuickStudy; Lam Rfc Cr edition,"May 31, 2011",978-1423216438
Building Big Data Pipelines with Apache Beam: Use a single programming model for both batch and stream data processing,Jan Lukavsky,46.99,342,4,12,58%,18%,12%,12%,0%,7.5 x 0.78 x 9.25 inches,1.3 pounds,English,"Packt Publishing (January 21, 2022)",Packt Publishing,"January 21, 2022",978-1800564930
Risk Assessment and Decision Analysis with Bayesian Networks,"Norman Fenton, Martin Neil",87.53,660,4.5,40,76%,13%,3%,4%,4%,7.3 x 1.7 x 10.5 inches,3.04 pounds,English,"Chapman and Hall/CRC; 2nd edition (September 12, 2018)",Chapman and Hall/CRC; 2nd edition,"September 12, 2018",978-1138035119
Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R,"Vitor Bianchi Lanzetta, Nataraj Dasgupta, Ricardo Anjoleto Farias",39.99,420,4.1,5,37%,40%,23%,0%,0%,7.5 x 0.95 x 9.25 inches,1.58 pounds,English,"Packt Publishing (November 30, 2018)",Packt Publishing,"November 30, 2018",978-1789139402
Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques,Mike Grigsby,30.16,240,4.3,53,66%,13%,10%,8%,3%,5.91 x 0.79 x 9.06 inches,13.1 ounces,English,"Kogan Page; 2nd edition (April 24, 2018)",Kogan Page; 2nd edition,"April 24, 2018",978-0749482169
"How Qualitative Data Analysis Happens: Moving Beyond ""Themes Emerged""","Áine Humble, Elise Radina",35.09,238,4.4,5,71%,29%,0%,0%,0%,6 x 0.61 x 9 inches,13.6 ounces,English,"Routledge; 1st edition (December 17, 2018)",Routledge; 1st edition,"December 17, 2018",978-1138044678
Python Programming for Beginners: 2 Books in 1 - The Ultimate Step-by-Step Guide To Learn Python Programming Quickly with Practical Exercises (Computer Programming),Mark Reed,19.99,201,4.7,196,85%,9%,3%,2%,1%,7 x 0.46 x 10 inches,13.8 ounces,English,"Independently published (July 21, 2022)",Independently published,"July 21, 2022",979-8841846581
Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language,Dylan Penny,25.1,330,4.6,105,79%,12%,2%,1%,6%,8 x 0.75 x 10 inches,1.46 pounds,English,"Independently published (January 22, 2021)",Independently published,"January 22, 2021",979-8598955789
Categorical Data Analysis,Alan Agresti,113.19,752,4.7,61,85%,6%,6%,3%,0%,7 x 1.5 x 10.1 inches,3.15 pounds,English,"Wiley; 3rd edition (December 3, 2012)",Wiley; 3rd edition,"December 3, 2012",978-0470463635
Data-Driven HR: How to Use Analytics and Metrics to Drive Performance,Bernard Marr,6.99,264,4.3,62,63%,20%,4%,8%,5%,6.1 x 0.59 x 9.06 inches,14.5 ounces,English,"Kogan Page; 1st edition (April 24, 2018)",Kogan Page; 1st edition,"April 24, 2018",978-0749482466
The Pandas Workshop: A comprehensive guide to using Python for data analysis with real-world case studies,"Blaine Bateman, Saikat Basak, Thomas V Joseph",49.99,744,4.6,13,71%,19%,10%,0%,0%,7.5 x 1.68 x 9.25 inches,2.77 pounds,English,"Packt Publishing (June 17, 2022)",Packt Publishing,"June 17, 2022",978-1800208933
"Statistical Methods for Categorical Data Analysis, 2nd Edition","Yu Xie, Daniel Powers",92.85,200,4.8,10,84%,16%,0%,0%,0%,6.5 x 0.9 x 9.4 inches,1.5 pounds,English,"Emerald Publishing; 2nd edition (October 1, 2008)",Emerald Publishing; 2nd edition,"October 1, 2008",978-0123725622
"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition","Avinash Navlani, Armando Fandango, Ivan Idris",34.99,478,4.7,50,83%,8%,6%,3%,0%,7.5 x 1.08 x 9.25 inches,1.79 pounds,English,"Packt Publishing; 3rd ed. edition (February 5, 2021)",Packt Publishing; 3rd ed. edition,"February 5, 2021",978-1789955248
R for Data Analysis in easy steps - R Programming essentials,Mike McGrath,12.99,192,4.3,136,59%,20%,14%,3%,4%,7.2 x 0.5 x 8.8 inches,15.2 ounces,English,"In Easy Steps Limited (March 13, 2018)",In Easy Steps Limited,"March 13, 2018",978-1840787955
"Learning Tableau 2022: Create effective data visualizations, build interactive visual analytics, and improve your data storytelling capabilities, 5th Edition",Joshua N. Milligan,43.09,566,4.8,29,94%,6%,0%,0%,0%,7.5 x 1.28 x 9.25 inches,2.12 pounds,English,"Packt Publishing; 5th ed. edition (August 26, 2022)",Packt Publishing; 5th ed. edition,"August 26, 2022",978-1801072328
"Data Science in Context: Foundations, Challenges, Opportunities","Alfred Z. Spector, Peter Norvig, Chris Wiggins, Jeannette M. Wing",39.99,335,5,3,100%,0%,0%,0%,0%,6.69 x 0.94 x 9.69 inches,1.59 pounds,English,"Cambridge University Press; New edition (October 20, 2022)",Cambridge University Press; New edition,"October 20, 2022",978-1009272209
"Data Structures and Algorithm Analysis in Java, Third Edition (Dover Books on Computer Science)",Dr. Clifford A. Shaffer,10.64,608,3.7,22,47%,20%,8%,6%,19%,6.75 x 1.25 x 9.75 inches,2.3 pounds,English,"Dover Publications; Third edition (September 14, 2011)",Dover Publications; Third edition,"September 14, 2011",978-0486485812
The Statistical Sleuth: A Course in Methods of Data Analysis,"Fred Ramsey, Daniel Schafer",127.98,784,4,73,58%,16%,7%,8%,10%,7.25 x 1.5 x 9.25 inches,2.95 pounds,English,"Cengage Learning; 3rd edition (May 2, 2012)",Cengage Learning; 3rd edition,"May 2, 2012",978-1133490678
"Bayesian Data Analysis in Ecology Using Linear Models with R, BUGS, and Stan","Franzi Korner-Nievergelt, Tobias Roth, Stefanie von Felten, Jérôme Guélat, Bettina Almasi, Pius Korner-Nievergelt",59.96,328,4.7,5,70%,30%,0%,0%,0%,5.9 x 0.7 x 8.9 inches,1.5 pounds,English,"Academic Press; 1st edition (April 23, 2015)",Academic Press; 1st edition,"April 23, 2015",978-0128013700
"Introduction to Algorithms, 3rd Edition (The MIT Press)","Thomas H. Cormen, Charles E. Leiserson, Ronald L Rivest, Clifford Stein",78.49,1292,4.6,"2,240",78%,10%,6%,2%,4%,9.08 x 8.18 x 2.06 inches,4.95 pounds,English,"The MIT Press; 3rd edition (July 31, 2009)",The MIT Press; 3rd edition,"July 31, 2009",978-0262033848
Data Analysis with Microsoft Power BI,Brian Larson,42.7,544,3.8,12,47%,18%,11%,14%,10%,7.2 x 1.3 x 9.1 inches,1.7 pounds,English,"McGraw Hill; 1st edition (December 27, 2019)",McGraw Hill; 1st edition,"December 27, 2019",978-1260458619
Escape from Model Land: How Mathematical Models Can Lead Us Astray and What We Can Do About It,Erica Thompson,30,256,5,1,100%,0%,0%,0%,0%,6.3 x 1.05 x 9.55 inches,15.5 ounces,English,"Basic Books (December 6, 2022)",Basic Books,"December 6, 2022",978-1541600980
Excel Tips & Tricks (Quick Study Computer),Inc. BarCharts,5.95,6,4.5,"1,984",72%,16%,8%,2%,3%,8.5 x 11 x 0.06 inches,2.4 ounces,English,"QuickStudy; Lam Crds edition (November 18, 2008)",QuickStudy; Lam Crds edition,"November 18, 2008",978-1423205425
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,Paul Houghton,44.99,366,4.3,10,73%,13%,14%,0%,0%,7.5 x 0.83 x 9.25 inches,1.38 pounds,English,"Packt Publishing (June 30, 2022)",Packt Publishing,"June 30, 2022",978-1803236483
Expert Data Modeling with Power BI: Get the best out of Power BI by building optimized data models for reporting and business needs,"Soheil Bakhshi, Christian Wade",46.53,612,4.8,50,80%,20%,0%,0%,0%,7.5 x 1.38 x 9.25 inches,2.28 pounds,English,"Packt Publishing (June 11, 2021)",Packt Publishing,"June 11, 2021",978-1800205697
"The Esri Guide to GIS Analysis, Volume 1: Geographic Patterns and Relationships (The Esri Guide to GIS Analysis, 1)",Andy Mitchell,31.99,312,4.6,26,80%,9%,6%,5%,0%,7.5 x 0.75 x 9.25 inches,1.6 pounds,English,"Esri Press; Second edition (May 26, 2020)",Esri Press; Second edition,"May 26, 2020",978-1589485792
Data Visualization: A Practical Introduction,Kieran Healy,42,296,4.6,206,78%,12%,8%,1%,1%,8 x 0.75 x 10 inches,1.6 pounds,English,"Princeton University Press; 1st edition (December 18, 2018)",Princeton University Press; 1st edition,"December 18, 2018",978-0691181622
"Applied Spatial Data Analysis with R (Use R!, 10)","Roger S. Bivand, Edzer Pebesma, Virgilio Gómez-Rubio",74.04,423,4.5,29,64%,22%,14%,0%,0%,6.1 x 0.96 x 9.25 inches,1.42 pounds,English,"Springer; 2nd ed. 2013 edition (June 21, 2013)",Springer; 2nd ed. 2013 edition,"June 21, 2013",978-1461476177
Bayesian Data Analysis for the Behavioral and Neural Sciences,Todd E. Hudson,48.16,612,4,3,34%,33%,33%,0%,0%,8 x 1.39 x 10 inches,3.17 pounds,English,"Cambridge University Press (August 26, 2021)",Cambridge University Press,"August 26, 2021",978-1108812900
Root Cause Analysis,Matthew A. Barsalou,34.95,154,3.9,26,56%,15%,6%,12%,10%,6.13 x 0.35 x 9.25 inches,9.6 ounces,English,"Routledge; 1st edition (January 19, 2015)",Routledge; 1st edition,"January 19, 2015",978-1482258790
"The Analysis of Biological Data, Second Edition","Michael C. Whitlock, Dolph Schluter",87,768,4.5,183,74%,14%,8%,1%,4%,9.5 x 1.5 x 7.25 inches,3.35 pounds,English,"Roberts and Company Publishers; 2nd edition (June 2, 2014)",Roberts and Company Publishers; 2nd edition,"June 2, 2014",978-1936221486
Multiple Imputation of Missing Data in Practice: Basic Theory and Analysis Strategies (Chapman & Hall/CRC Interdisciplinary Statistics),"Yulei He, Guangyu Zhang, Chiu-Hsieh Hsu",99.42,476,4.2,32,58%,19%,14%,5%,5%,6.14 x 1.06 x 9.21 inches,2.36 pounds,English,"Chapman and Hall/CRC; 1st edition (November 26, 2021)",Chapman and Hall/CRC; 1st edition,"November 26, 2021",978-1789959277
"Learning Geospatial Analysis with Python: Understand GIS fundamentals and perform remote sensing data analysis using Python 3.7, 3rd Edition",Joel Lawhead,51.99,456,4.2,29,61%,18%,11%,5%,5%,7.5 x 1.03 x 9.25 inches,1.71 pounds,English,"Packt Publishing (September 27, 2019)",Packt Publishing,"September 27, 2019",978-1789959277
Python Programming for Beginners: The #1 Python Programming Crash Course to Learn Python Coding Well and Fast (with Hands-On Exercises),Codeone Publishing,19.16,126,4.7,386,87%,7%,1%,2%,3%,8 x 0.29 x 10 inches,8.8 ounces,English,"Independently published (October 31, 2022)",Independently published,"October 31, 2022",979-8361503742
Qualitative Data Analysis: An Introduction,Carol Grbich,43.15,344,4.5,23,72%,15%,7%,7%,0%,6.69 x 0.78 x 9.53 inches,1.28 pounds,English,"SAGE Publications Ltd; Second edition (December 6, 2012)",SAGE Publications Ltd; Second edition,"December 6, 2012",978-1446202975
Microsoft Excel Data Analysis and Business Modeling (Business Skills),Wayne Winston,30.51,864,4.5,423,75%,12%,9%,2%,2%,7.4 x 1.75 x 9 inches,3.17 pounds,English,"Microsoft Press; 5th edition (December 9, 2016)",Microsoft Press; 5th edition,"December 9, 2016",978-1509304219
